Lead Investor,Deals,Avg Round Size (USD),Companies,Min Announced Date,Max Announced Date
Forgepoint Capital,20,17392500,"Bayshore Networks,Uptycs,Surefire Cyber,SPHERE,Discern Security,Cloudentity,4iQ,1Kosmos,Symmetry Systems,Remediant,Converge,DataBahn,GetReal Security,Huntress,SolCyber,ReversingLabs,Bishop Fox,Cysiv,Qevlar AI,IronNet Cybersecurity",2015-10-25,2026-07-30
Accel,18,17839312,"Demisto,Corelight,Sysdig,Tailscale,Luma,Tessian,Privacera,Styra,Truora,C1 (formerly ConductorOne),Vorlon,Filigran,Ermetic - a Tenable company,Stairwell,CrowdStrike,Prophet Security,Callsign,depthfirst",2012-02-23,2026-01-14
Lightspeed Venture Partners,16,17381250,"Arctic Wolf,Confluera,Rubrik,enSilo,Theta Lake,Glean,Oosto,Panther,CyCognito,Ocean,Fireglass,Blink Ops,Straiker,Normalyze,Noname Security,Zscaler",2012-05-01,2026-05-19
Andreessen Horowitz,14,17509064,"Luma,Illumio,Bromium,Pindrop,Stoïk,SentiLink,Truffle Security,Doppel,Socket,Method Security,Material Security,Aleo,Isovalent,CipherCloud",2011-06-22,2025-11-19
Insight Partners,13,22819087,"Detectify,DeepFactor,Calamu Technologies,Veriti,Reco,Cycode,Ory Corp,Frontegg,DNSFilter,Root,Laminar,Docker",2018-03-16,2025-04-22
New Enterprise Associates,13,15640000,"Barkly,Evident,WireWheel.io,Bitglass,ThreatQuotient,ZeroFox,Laurel Networks,DataVisor,SafeBase,Expanse,Beyond Identity,Cyence",2000-03-09,2022-03-10
SYN Ventures,13,19423077,"Upfort,Metabase Q,SynSaber,Sevco Security,BforeAI,Query,Miggo Security,Balance Theory,SquareX,RevealSecurity,Tuskira,iCOUNTER,Phosphorus Cybersecurity",2021-05-20,2026-07-31
Ten Eleven Ventures,13,13369231,"Hexadite,Device Authority,Silent Push,Vulcan Cyber,Revelock,VulnCheck,JASK,Corsha,Vaultree,Axis Security,BlueFlag Security,Ordr,Fig Security",2016-02-10,2026-03-23
Bain Capital Ventures,11,15268773,"Rapid7,Attivo Networks,Qwiet,Evident.io,Sysdig,VISO TRUST,JupiterOne,ObserveIT,Straiker,Red Balloon Security,InAuth",2008-09-17,2025-03-27
Kleiner Perkins,11,13113636,"Shape Security,Synack,Area 1 Security,Trusona,interos.ai,Ionic Security,DUST Identity,Glean,Open Raven,Teleport",2012-04-26,2020-06-16
Ballistic Ventures,10,16550000,"SpecterOps,Alethea,Zip Security,ArmorCode,Concentric AI,BreachRx,Oligo Security,Reach Security,Noma Security,Pangea",2022-05-11,2025-07-14
Bessemer Venture Partners,10,18619728,"Protectt.ai,Bastille Networks Internet Security,Electric,Defense.Net,Axonius,Eye Security,Bold Security,Virtru,Legit Security,Claroty",2013-08-06,2026-03-12
ClearSky,10,12880000,"Inky,SecurityAdvisor,ZeroNorth,AppOmni,Solebit,Mitiga,BigID,Phylum,Bluelava",2018-01-29,2023-03-14
Evolution Equity Partners,10,21380000,"Panaseer,Guardsix,BluBracket,TrueFort,Satori Cyber,Bright Security,Phosphorus Cybersecurity,Sweet Security,Oleria,Protect AI",2017-04-04,2024-03-06
Greylock,10,12900000,"NETSCOUT Systems,CoWare,Skyhigh Networks,Obsidian Security,Opal Security,Palo Alto Networks,Sqreen,Kodem Security,Abnormal AI,Bedrock Data",1996-02-01,2025-11-17
Paladin Capital Group,10,14989307,"IriusRisk,RiskSense,Expel,SCYTHE,Hack The Box,Human Security,CalypsoAI,MIND,RADICL Defense",2014-06-24,2026-02-03
Index Ventures,9,15211111,"Datadog,Lacoon Mobile Security,AttackIQ,Castle,Signal Sciences,Monad,Sublime Security,Astelia,Linx Security",2012-11-21,2026-02-24
AllegisCyber,8,13400000,"CyberGRX,Conceal,Deepfence Inc,Source Defense,Dragos,Prevailion,Vicarius,Elisity",2016-07-14,2022-02-09
Battery Ventures,8,22025000,"LightCyber,ZeroTier,Bridgecrew,Vera,Normalyze,imper.ai,AegisAI,Koi",2014-09-10,2026-07-23
CRV,8,17812500,"Upstream Security,Respond Software,InCountry,Outtake,Fleet Device Management,Doppler,Astrix Security,ProjectDiscovery",2017-08-16,2025-04-09
Dell Technologies Capital,8,12562500,"Cymulate,RedLock,JASK,Oloid,RiskRecon,Remediant,Lightspin,Entro Security",2017-03-27,2024-06-18
Norwest,8,16527500,"Exabeam,Bitglass,Aporeto,Dtex Systems,Red Access,SlashNext,Fireglass,ORION Security",2013-03-08,2026-02-03
Sequoia Capital,8,16856250,"Palo Alto Networks,SecurityScorecard,Versa Networks,Cohesity,StrongDM,Stairwell,XBOW,Prelude",2006-01-01,2025-01-01
Shasta Ventures,8,9862500,"Deep Sentinel,Skycure,Cequence Security,Portal26,Viakoo,ISARA Corporation,Valimail,Banyan Security",2015-03-24,2025-11-04
U.S. Venture Partners,8,13750000,"Arkose Labs,prevoty,AirEye,Luminate Security,TrustLab,Hunters,Cato Networks,IONIX",2015-03-11,2023-06-15
Benchmark,7,11714286,"Blue Hexagon,Proofpoint,CloudPassage,CTERA Networks,HackerOne,Elastic,Docker",2003-01-02,2019-11-13
Intel Capital,7,17571429,"Intezer,SAM Seamless Network,Duality Technologies,Zenity,Grip Security,Trinity Cyber,Tuskira",2017-10-19,2024-12-04
M12 - Microsoft's Venture Fund,7,13671429,"HYAS,Aqua Security,Reach Security,Edera,NsKnox,Hunters,Valence Security",2016-09-27,2025-07-29
Notable Capital,7,23000000,"Nozomi Networks,Token Security,Torq,Orca Security,Gem,Clover Security,Act Security",2016-10-24,2025-12-29
Energy Impact Partners,6,13333333,"Dragos,Oort,Finite State,VanishID,RangeForce,42Crunch",2017-08-14,2022-10-06
Felicis,6,17750000,"Altitude Networks,Operant AI,C1 (formerly ConductorOne),Ethena,Runlayer,Terra Security",2019-07-31,2026-06-24
Google Ventures,6,14185318,"Luma,Push Security,Mokn,Censys,dope.security,Resistant AI",2016-09-14,2026-05-29
Storm Ventures,6,10066667,"RedLock,Digital Shadows,LogicHub,TruSTAR,Dasera,Clear Skye",2015-02-11,2023-04-19
Tiger Global Management,6,21584909,"Securden,SentinelOne,Cloudsmith,Laminar,ARMO,Cider Security",2014-04-23,2022-06-02
.406 Ventures,5,8760000,"GreatHorn,Terbium Labs,Onapsis,Corvus Insurance,Oort",2014-06-18,2022-10-06
Crosslink Capital,5,10300000,"Bluelava,Britive,Bolster AI,ZeroNorth,VanishID",2019-08-23,2022-02-23
General Catalyst,5,13200000,"Preempt Security,Ostra Security,Menlo Security,Armorblox,Method Security",2014-11-18,2025-11-19
