Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - PeakMetrics,https://www.crunchbase.com/funding_round/peakmetrics-series-a--c7c4c65f,"Los Angeles, California, United States, North America",PeakMetrics,https://www.crunchbase.com/organization/peakmetrics,Series A,6000000,USD,6000000,2026-04-09,"Cyber Security, Machine Learning, Marketing Automation, Natural Language Processing, Software, Text Analytics",Moneta Ventures
Series A - Hubbl Diagnostics,https://www.crunchbase.com/funding_round/hubbl-diagnostics-series-a--6f230c21,"Vancouver, British Columbia, Canada, North America",Hubbl Diagnostics,https://www.crunchbase.com/organization/hubbl-diagnostics,Series A,6000000,USD,6000000,2026-02-09,"Analytics, Cyber Security, Software",Salesforce Ventures
Series A - RIIG,https://www.crunchbase.com/funding_round/riig-8f1c-series-a--c6eb1545,"Charlottesville, Virginia, United States, North America",RIIG,https://www.crunchbase.com/organization/riig-8f1c,Series A,6000000,USD,6000000,2026-04-21,"Artificial Intelligence (AI), Cyber Security, Data Integration, Information Technology, Risk Management",
Series A - Oloid,https://www.crunchbase.com/funding_round/oloid-ai-series-a--716f39bc,"Sunnyvale, California, United States, North America",Oloid,https://www.crunchbase.com/organization/oloid-ai,Series A,6000000,USD,6000000,2024-10-24,"Biometrics, Cyber Security, Identity Management, SaaS, Software","Carya Venture Partners, Exposition Ventures, George Kaiser Family Foundation, Yaletown Partners"
Series A - Shape Security,https://www.crunchbase.com/funding_round/shape-security-series-a--1cf22cb3,"Santa Clara, California, United States, North America",Shape Security,https://www.crunchbase.com/organization/shape-security,Series A,6000000,USD,6000000,2012-04-26,"Cyber Security, Information Technology, Network Security, Security","Kleiner Perkins, TomorrowVentures"
Series A - CryptoMove,https://www.crunchbase.com/funding_round/cryptomove-series-a--4412364d,"Oakland, California, United States, North America",CryptoMove,https://www.crunchbase.com/organization/cryptomove,Series A,6000000,USD,6000000,2018-02-12,"Blockchain, Cloud Security, Cyber Security, Database, Data Storage, Enterprise Software, Internet of Things, Security, Software",Social Capital
Series A - Demisto,https://www.crunchbase.com/funding_round/demisto-series-a--588fc884,"Cupertino, California, United States, North America",Demisto,https://www.crunchbase.com/organization/demisto,Series A,6000000,USD,6000000,2016-05-25,"Cyber Security, Developer Platform, Internet, Security",Accel
Series A - Arkose Labs,https://www.crunchbase.com/funding_round/arkoselabs-series-a--37260e23,"San Mateo, California, United States, North America",Arkose Labs,https://www.crunchbase.com/organization/arkoselabs,Series A,6000000,USD,6000000,2018-09-05,"Cyber Security, FinTech, Fraud Detection, Network Security, Security, Spam Filtering",U.S. Venture Partners
Series A - CenterBoard,https://www.crunchbase.com/funding_round/centerboard-series-a--e48ab299,"Pleasanton, California, United States, North America",CenterBoard,https://www.crunchbase.com/organization/centerboard,Series A,6000000,USD,6000000,2003-11-12,Cyber Security,N47
Series A - Inky,https://www.crunchbase.com/funding_round/arcode-series-a--064ae1a2,"College Park, Maryland, United States, North America",Inky,https://www.crunchbase.com/organization/arcode,Series A,6000000,USD,6000000,2019-11-14,"Artificial Intelligence (AI), Cyber Security, Email, SaaS","ClearSky, Gula Tech Adventures"
Series A - Seclore,https://www.crunchbase.com/funding_round/seclore-series-a--44192507,"Santa Clara, California, United States, North America",Seclore,https://www.crunchbase.com/organization/seclore,Series A,6000000,USD,6000000,2013-04-24,"Cyber Security, Information Services, Information Technology, Infrastructure, Security, Software","Helion Venture Partners, VenturEast"
Series A - Carbon Black,https://www.crunchbase.com/funding_round/bit9-series-a--d942fe46,"Waltham, Massachusetts, United States, North America",Carbon Black,https://www.crunchbase.com/organization/bit9,Series A,6000000,USD,6000000,2005-09-20,"Cyber Security, Homeland Security, Physical Security, Security","Atlas Venture, Highland Capital Partners"
Series A - Avathon,https://www.crunchbase.com/funding_round/sparkcognition-series-a--985f8375,"Pleasanton, California, United States, North America",Avathon,https://www.crunchbase.com/organization/sparkcognition,Series A,6000000,USD,6000000,2016-04-26,"Analytics, Artificial Intelligence (AI), Cyber Security, Machine Learning, Software","CME Ventures, Verizon Ventures"
Series A - Barkly,https://www.crunchbase.com/funding_round/cylent-systems-series-a--7d9ddc96,"Boston, Massachusetts, United States, North America",Barkly,https://www.crunchbase.com/organization/cylent-systems,Series A,6000000,USD,6000000,2017-01-19,"Cyber Security, Network Security, Security",New Enterprise Associates
Series A - Adlumin,https://www.crunchbase.com/funding_round/adlumin-inc-series-a--75fe53af,"Burlington, Massachusetts, United States, North America",Adlumin,https://www.crunchbase.com/organization/adlumin-inc,Series A,6000000,USD,6000000,2020-09-28,"Cyber Security, Enterprise Software, Information Technology, Network Security, SaaS",Leawood Venture Capital
Series A - Nantero,https://www.crunchbase.com/funding_round/nantero-series-a--013b097f,"Woburn, Massachusetts, United States, North America",Nantero,https://www.crunchbase.com/organization/nantero,Series A,6000000,USD,6000000,2001-10-01,"Computer, Cyber Security, Hardware, Manufacturing, Nanotechnology, Semiconductor, Software",Stata Venture Partners (SVP)
Series A - Bugcrowd,https://www.crunchbase.com/funding_round/bugcrowd-series-a--ac944f41,"San Francisco, California, United States, North America",Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,Series A,6000000,USD,6000000,2015-03-11,"Crowdsourcing, Cyber Security, Penetration Testing, Security",Costanoa Ventures
Series A - Threater,https://www.crunchbase.com/funding_round/ThreatBlockr-series-a--304bb55f,"Washington, District of Columbia, United States, North America",Threater,https://www.crunchbase.com/organization/ThreatBlockr,Series A,6000000,USD,6000000,2019-02-20,"Cyber Security, Software",Tenfore Holdings
Series A - CogniFiber,https://www.crunchbase.com/funding_round/cognifiber-series-a--211a0e9f,"Rosh Ha'ayin, HaMerkaz, Israel, Asia",CogniFiber,https://www.crunchbase.com/organization/cognifiber,Series A,6000000,USD,6000000,2022-02-09,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Cyber Security, Fraud Detection, Internet of Things, Predictive Analytics",Chartered Group
Series A - Nisos,https://www.crunchbase.com/funding_round/nisos-series-a--7e73f293,"Arlington, Virginia, United States, North America",Nisos,https://www.crunchbase.com/organization/nisos,Series A,6000000,USD,6000000,2019-01-28,"Cyber Security, Information Technology, Network Security, Security",Columbia Capital
Series A - NETSCOUT Systems,https://www.crunchbase.com/funding_round/netscout-systems-series-a--890649cd,"Westford, Massachusetts, United States, North America",NETSCOUT Systems,https://www.crunchbase.com/organization/netscout-systems,Series A,6000000,USD,6000000,1996-02-01,"Cyber Security, Network Security, Virtualization",Greylock
Series A - Terbium Labs,https://www.crunchbase.com/funding_round/terbium-labs-series-a--7158ff39,"Baltimore, Maryland, United States, North America",Terbium Labs,https://www.crunchbase.com/organization/terbium-labs,Series A,6000000,USD,6000000,2017-11-29,"Computer, Cyber Security, Network Security",Glasswing Ventures
Series A - CoWare,https://www.crunchbase.com/funding_round/coware-series-a--9b53e6fe,"San Jose, California, United States, North America",CoWare,https://www.crunchbase.com/organization/coware,Series A,6000000,USD,6000000,1997-04-01,"Artificial Intelligence (AI), Cloud Data Services, Computer, Consulting, Cyber Security, Machine Learning, Software",Greylock
Series A - Envelop Risk,https://www.crunchbase.com/funding_round/envelop-risk-analytics-series-a--5bdd380f,"Bristol, Bristol, United Kingdom, Europe",Envelop Risk,https://www.crunchbase.com/organization/envelop-risk-analytics,Series A,6000000,USD,6000000,2020-05-14,"Artificial Intelligence (AI), Cyber Security, Information Technology",Alpha Intelligence Capital
Series A - Blue Hexagon,https://www.crunchbase.com/funding_round/blue-hexagon-series-a--4eea3c53,"San Francisco, California, United States, North America",Blue Hexagon,https://www.crunchbase.com/organization/blue-hexagon,Series A,6000000,USD,6000000,2017-10-13,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Software",Benchmark
Series A - Stamus Networks,https://www.crunchbase.com/funding_round/stamus-networks-series-a--a503703c,"Indianapolis, Indiana, United States, North America",Stamus Networks,https://www.crunchbase.com/organization/stamus-networks,Series A,6000000,USD,6000000,2023-08-08,"Big Data, Cyber Security, Information Technology, Intrusion Detection, Network Security",First Analysis
Series A - D-Fend Solutions,https://www.crunchbase.com/funding_round/d-fend-solutions-series-a--9f07fb3d,"Ra'anana, HaMerkaz, Israel, Asia",D-Fend Solutions,https://www.crunchbase.com/organization/d-fend-solutions,Series A,6000000,USD,6000000,2018-05-23,"Cyber Security, Drone Management, Drones, Law Enforcement, National Security, Security",
